# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401541033","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3663","Burke-Tarr Stadium","2105","Carson-Newman","South Atlantic","ii","35","","","","","2355","Virginia Lynchburg","","","3","","","","","","",""
"401540311","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","3629","Barker-Lane Stadium","2097","Campbell","CAA","fcs","24","","0.4003959477855617","","","2729","William & Mary","CAA","fcs","34","","0.5996040522144384","","","3.2557304502","",""
"401541751","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","3934","Southern Nazarene University Football Stadium","200","Southern Nazarene","Great American","ii","20","","","","","2264","Harding","Great American","ii","53","","","","","","",""
"401545810","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","5874","Chet Anderson Stadium","132","Bemidji State","Northern Sun","ii","49","","","","","425","Northern State","Northern Sun","ii","13","","","","","","",""
"401545791","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","4431","Chryst Field at Biemesderfer Stadium","210","Millersville","Pennsylvania State Athletic","ii","33","","","","","2830","St. Anselm","Northeast 10","ii","7","","","","","","",""
"401545779","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","6212","Bishop Schmitt Field","112335","Wheeling Jesuit","Mountain East","ii","35","","","","","611","Seton Hill College","Pennsylvania State Athletic","ii","24","","","","","","",""
"401545751","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3723","QU Stadium","2825","Quincy","Great Lakes","ii","34","","","","","2123","Chadron State","Rocky Mountain","ii","35","","","","","","",""
"401541949","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6062","Gable Field at Doc Wadley Stadium","196","Northeastern State","Mid America","ii","0","","","","","2231","Fort Hays State","Mid America","ii","56","","","","","","",""
"401540728","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3609","Allgood-Bailey Stadium","2402","Missouri S&T","Great Lakes","ii","20","","","","","2170","Delta State","Gulf South","ii","48","","","","","","",""
"401540775","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","4763","Ranger Field","2823","Northwestern Oklahoma State","Great American","ii","24","","","","","2028","Arkansas-Monticello","Great American","ii","49","","","","","","",""
"401541872","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3957","Tiger Stadium (AL)","2695","West Alabama","Gulf South","ii","14","","","","","2025","Angelo State","Lone Star","ii","38","","","","","","",""
"401541833","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3718","Tom Benson Hall of Fame Stadium","2682","Walsh","Great Midwest Athletic","ii","24","","","","","2699","West Liberty","Mountain East","ii","21","","","","","","",""
"401525461","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","30028","3630","BB&T Field","154","Wake Forest","ACC","fbs","37","","0.9883751085572094","1608","1608","2210","Elon","CAA","fcs","17","","0.011624891442790553","","","3.4579971028","",""
"401554814","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5810","Coyer Field","2085","Buffalo State","Liberty League","iii","6","","","","","2781","Brockport State (NY)","Empire 8","iii","42","","","","","","",""
"401558399","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","true","false","","5922","Wildcat Field","2347","Louisiana College","","","34","","","","","2194","East Texas Baptist","American Southwest","iii","14","","","","","","",""
"401550360","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5802","Belhaven Bowl Stadium","2056","Belhaven College","USA South","iii","47","","","","","2398","Millsaps","Southern Athletic","iii","7","","","","","","",""
"401545835","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6035","Memorial Stadium (Wayne, NE)","2844","Wayne State (NE)","Northern Sun","ii","31","","","","","2817","Minnesota St-Moorhead","Northern Sun","ii","23","","","","","","",""
"401545842","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6070","Bob Young Field","2894","Sioux Falls","Northern Sun","ii","26","","","","","2364","Minnesota State","Northern Sun","ii","54","","","","","","",""
"401545847","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6052","Herb Parker Stadium","568","Minot State","Northern Sun","ii","23","","","","","2587","Southwest Minnesota State","Northern Sun","ii","28","","","","","","",""
"401545869","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3808","Lincoln University Stadium","2339","Lincoln (PA)","CIAA","ii","20","","","","","2134","Clarion","Pennsylvania State Athletic","ii","30","","","","","","",""
"401550240","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5918","Taylor Field","6353","Lakeland University","NACC","iii","13","","","","","272","Wisconsin-Platteville","Wisconsin","iii","80","","","","","","",""
"401532393","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","19432","3980","Waldo Stadium","2711","Western Michigan","Mid-American","fbs","35","","0.979419588239194","1367","1367","2598","St Francis (PA)","NEC","fcs","17","","0.02058041176080605","","","4.6293850587","",""
"401540534","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3868","Paladin Stadium","231","Furman","Southern","fcs","45","","0.9976874159074792","","","2635","Tennessee Tech","Big South-OVC","fcs","10","","0.0023125840925207752","","","4.8583623232","",""
"401547053","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6042","Alumni Stadium (KY)","2310","Kentucky State","SIAC","ii","34","","","","","2805","Clark Atlanta","SIAC","ii","20","","","","","","",""
"401547175","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","true","false","","3983","War Memorial Stadium","241","McMurry","American Southwest","iii","19","","","","","3","Birmingham-Southern","Southern Athletic","iii","20","","","","","","",""
"401541855","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3925","Seibert Stadium","2535","Samford","Southern","fcs","69","","0.9989409891171906","","","2560","Shorter","Gulf South","ii","14","","0.0010590108828093525","","","2.7899141061","",""
"401531834","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","15546","4246","Georgia State Stadium","2247","Georgia State","Sun Belt","fbs","42","","0.9688016320131437","1490","1490","227","Rhode Island","CAA","fcs","35","","0.031198367986856268","","","6.8861501661","",""
"401540323","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","3788","Kenneth P. LaValle Stadium","2619","Stony Brook","CAA","fcs","13","","0.0017795417526463785","","","48","Delaware","CAA","fcs","37","","0.9982204582473536","","","3.3903865124","",""
"401540299","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","3829","Memorial Stadium","282","Indiana State","MVFC","fcs","0","","0.0012160464997517993","","","2197","Eastern Illinois","Big South-OVC","fcs","27","","0.9987839535002482","","","2.3826799823","",""
"401525816","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","44088","3652","Bright House Networks Stadium","2116","UCF","Big 12","fbs","56","","0.9989059988666029","1534","1668","2309","Kent State","Mid-American","fbs","6","","0.0010940011333970823","1396","1262","1.3468100629","",""
"401551497","2023","1","regular","2023-08-31T23:05:00.000Z","false","true","false","false","","4439","Eiler-Martin Stadium","2188","East Stroudsburg","Pennsylvania State Athletic","ii","62","","","","","2487","Pace","Northeast 10","ii","9","","","","","","",""
"401520174","2023","1","regular","2023-08-31T23:30:00.000Z","false","true","false","false","36526","3892","Rentschler Field","41","Connecticut","FBS Independents","fbs","14","","0.020721389946961155","1260","1264","152","NC State","ACC","fbs","24","","0.9792786100530388","1557","1553","3.6726577056","",""
"401549695","2023","1","regular","2023-08-31T23:30:00.000Z","false","true","false","false","","3960","Top Taggart Field","2222","Ferris State","GLIAC","ii","54","","","","","2385","Mercyhurst","Pennsylvania State Athletic","ii","12","","","","","","",""
"401545819","2023","1","regular","2023-08-31T23:30:00.000Z","false","true","false","true","","5933","Sea Foam Stadium","3066","Concordia-St. Paul","Northern Sun","ii","43","","","","","389","Upper Iowa","Northern Sun","ii","20","","","","","","",""
"401540451","2023","1","regular","2023-08-31T23:30:00.000Z","false","true","false","false","","844","Stambaugh Stadium","2754","Youngstown State","MVFC","fcs","52","","","","","2674","Valparaiso","Pioneer","fcs","10","","","","","","",""
"401541775","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","6064","Crain Family Stadium","319","Oklahoma Baptist","Great American","ii","23","","","","","2033","Arkansas Tech","Great American","ii","21","","","","","","",""
"401540463","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","5237","Dana J. Dykhouse Stadium","2571","South Dakota State","MVFC","fcs","45","","0.9989717818393455","","","2848","Western Oregon","Lone Star","ii","7","","0.0010282181606544594","","","1.9381977834","",""
"401520165","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","50434","3838","Faurot Field","142","Missouri","SEC","fbs","35","","0.9978555091746407","1480","1480","233","South Dakota","MVFC","fcs","10","","0.00214449082535928","","","3.0673258772","",""
"401520176","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","53644","587","Rice-Eccles Stadium","254","Utah","Pac-12","fbs","24","","0.9381725457920445","1776","1784","57","Florida","SEC","fbs","11","","0.061827454207955546","1554","1546","2.9381887071","",""
"401531337","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","17529","3674","Skelly Field at H. A. Chapman Stadium","202","Tulsa","American Athletic","fbs","42","","0.9988560885578286","1418","1418","2029","Arkansas-Pine Bluff","SWAC","fcs","7","","0.001143911442171408","","","3.7137518758","",""
"401549650","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","3945","Strong Stadium","266","Beloit College","Midwest","iii","34","","","","","2524","Rockford","NACC","iii","27","","","","","","",""
"401550414","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","true","false","","6220","Trojan Stadium","512","Dakota State","","","6","","","","","2740","Wisconsin-La Crosse","Wisconsin","iii","31","","","","","","",""
"401531377","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","25363","7221","Protective Stadium","5","UAB","American Athletic","fbs","35","","0.9989372376296379","1510","1510","2448","North Carolina A&T","CAA","fcs","6","","0.0010627623703620692","","","3.0895999027","",""
"401550428","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","3749","Hunter Stadium","2815","Lindenwood","Big South-OVC","fcs","77","","0.9989709362300486","","","2743","Wisconsin-Stevens Point","Wisconsin","iii","9","","0.0010290637699513772","","","2.1849370661","",""
"401541928","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","6055","Craig Field at Spratt Memorial Stadium","137","Missouri Western","Mid America","ii","38","","","","","2118","Central Missouri State","Mid America","ii","45","","","","","","",""
"401540278","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","5440","Wildcat Stadium (TX)","2000","Abilene Christian","UAC","fcs","31","","0.9989293593809496","","","2458","Northern Colorado","Big Sky","fcs","11","","0.001070640619050378","","","2.6614642116","",""
"401541958","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","6054","Fred G. Hughes Stadium","2403","Missouri Southern State","Mid America","ii","24","","","","","138","Northwest Missouri State","Mid America","ii","31","","","","","","",""
"401541984","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","6067","Carnie Smith Stadium","90","Pittsburg State","Mid America","ii","34","","","","","2687","Washburn","Mid America","ii","7","","","","","","",""
"401551490","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","5938","Al Whitehead Field at Greyhound Stadium","2201","Eastern New Mexico","Lone Star","ii","28","","","","","2424","New Mexico Highlands","Rocky Mountain","ii","26","","","","","","",""
"401544875","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","5942","Francis G. Welch Stadium","2214","Emporia State","Mid America","ii","56","","","","","2876","Lincoln (MO)","Independent DII","ii","10","","","","","","",""
"401541939","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","5878","Wantland Stadium","2122","Central Oklahoma","Mid America","ii","24","","","","","2438","Nebraska-Kearney","Mid America","ii","21","","","","","","",""
"401540745","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","5883","Marv Kay Stadium at Campbell Field","2146","Colorado Mines","Rocky Mountain","ii","31","","","","","125","Grand Valley State","GLIAC","ii","28","","","","","","",""
