Team,Wins,Losses,Distribution
Georgia State,6,6,0.0035153001583151607
Adrian,1,9,0.0035151260158427554
Middle Tennessee,4,8,0.0035148712752042974
East Carolina,2,10,0.0035059867234714516
Gallaudet,4,5,0.0034847790140219827
North Park,5,5,0.003477943831406146
Randolph-Macon,10,0,0.0034775587013010536
Averett,5,5,0.003475754045455323
UTEP,3,9,0.0034722143800801466
Florida International,4,8,0.003470568374541842
Coe,9,1,0.0034661637345431732
Benedictine (IL),5,4,0.0034643731052857495
Wyoming,8,4,0.00344121325256283
Lawrence,0,10,0.0033987766660241166
Washington (MO),7,3,0.0033986073167026586
Memphis,9,3,0.0033975998343830647
SUNY Cortland,9,1,0.0033911628716145987
Guilford,2,8,0.0033906091915585817
Lycoming,4,6,0.003385868777182972
James Madison,11,1,0.0033815342702941216
Wilmington (OH),3,7,0.003379470187773882
Troy,11,2,0.003378163281728639
Alvernia University,1,9,0.0033676377430104684
Rice,6,6,0.003365540480317853
Connecticut,3,9,0.003361749274433857
Western Kentucky,7,5,0.0033575950295162325
Juniata,1,9,0.0033572230238706705
Marietta,8,2,0.003352972081424976
Hope,8,2,0.0033371142729273317
Albright,0,10,0.0033350249351018534
DePauw,10,0,0.003333531613941408
Miami (OH),11,2,0.003323940971340627
Catholic University,5,5,0.0033219709185639385
Eureka College,4,6,0.003316418870799351
Illinois College,9,1,0.0033143111829699247
Belhaven College,9,1,0.0032877609428450046
Rockford,2,8,0.003283598875841056
Ripon,5,5,0.003262415324272874
Southwestern University,3,7,0.003258754496758552
Ball State,4,8,0.003253926778691704
Texas State,7,5,0.003243670317580568
Loras College,5,5,0.00322891898519986
John Carroll,8,2,0.0032224057512445434
Monmouth (IL),8,2,0.003218750357977308
North Central,10,0,0.0032164692640142627
Illinois Wesleyan,3,7,0.0032106549470894046
Aurora,10,0,0.003207339528726865
Buffalo,3,9,0.003206165273939331
Mount Union,10,0,0.003197461278494684
Pacific (OR),2,7,0.0031948610174726217
Louisiana,6,6,0.0031942891548325907
Susquehanna,10,0,0.0031846340347493176
Lewis & Clark,5,5,0.0031844325146787424
Luther,0,10,0.0031822763016849933
Hampden-Sydney,6,4,0.003170500392348142
Heidelberg,6,4,0.003170367917367114
Trine,6,4,0.0031649759968214765
Methodist,2,8,0.003153443444861541
Northern Illinois,6,6,0.003152790264439757
Chapman,6,4,0.0031454108564406714
Hartwick,1,9,0.0031357387749095214
Old Dominion,6,6,0.0031263719063018857
Trinity (TX),9,1,0.0031205370699046507
Louisiana Monroe,2,10,0.0031146620649400983
Ohio,9,3,0.0031129117892708122
Akron,2,10,0.003111862560890474
Sam Houston State,3,9,0.0031037158148422735
George Fox University,4,6,0.0031033331247533277
Navy,5,6,0.003098169980003904
Widener,7,3,0.003093368549359318
Louisiana Tech,3,9,0.003091829156611073
South Alabama,6,6,0.00308812583941462
Arkansas State,6,6,0.0030871356005631413
Wittenberg,7,3,0.003082094272968319
Eastern University,2,8,0.003080323582869078
Ohio Wesleyan,5,5,0.003071425552489408
Southern Mississippi,3,9,0.003069471332544093
Simpson College,3,7,0.003060564488439495
Carthage,3,7,0.0030602682936051537
Wisconsin Lutheran,4,6,0.0030462160641142304
Huntingdon,8,2,0.0030322484572168173
Knox College,3,7,0.0030147961409036
Eastern Michigan,6,6,0.00301467727304772
Centre,6,4,0.003013041232499615
Castleton State College,2,7,0.0030123506141546508
Georgia Southern,6,6,0.0029971943055168713
Sewanee Univ. of the South,3,7,0.002988847840720376
Central Michigan,5,7,0.002978189562094005
Marshall,6,6,0.0029779358277147944
Greenville,5,5,0.0029626511631356636
Minnesota-Morris,7,3,0.002959377949651609
Brevard College,5,5,0.0029500247584961074
Kenyon,2,8,0.0029452168801717866
Delaware Valley,9,1,0.002930442528306221
Greensboro,2,8,0.0029155300128213156
Bowling Green,7,5,0.0029145731588245587
Hiram,1,9,0.0029134136121527912
Western Michigan,4,8,0.00290934737782218
UMass,3,9,0.0029071330756309513
Army,5,6,0.0029065174949293032
Ohio Northern,4,6,0.0029063179093140714
Birmingham-Southern,3,7,0.0028813963949587728
St. Johns (MN),7,2,0.002857405717597812
Elmhurst,2,8,0.0028416794018474964
Claremont,7,2,0.0028333696358757996
Grinnell,2,8,0.0028290942678201843
Illinois State,6,5,0.002826794887654322
Millsaps,1,9,0.002825104501754973
Cal Lutheran,3,6,0.0028197889589403314
Kent State,1,11,0.002808918736203322
Augsburg,6,3,0.0028043798710155193
Otterbein,0,10,0.002798706240925818
Willamette,1,9,0.0027393565193330094
Central,8,2,0.0027384572612322144
Lakeland University,4,6,0.002724758376784719
Hilbert College,0,8,0.0027170198072864727
Muskingum,4,6,0.002710266710588507
Whitworth,9,0,0.002703498726631607
Howard Payne,6,4,0.0026868764366006492
Youngstown State,7,4,0.0026851211364458728
Northwestern (MN),6,4,0.0026842794834872133
North Dakota State,8,3,0.002681107743238367
St. Scholastica,2,7,0.0026720314919030995
Capital,1,9,0.002658574893078857
Pacific Lutheran,5,5,0.002654189432150466
St. Olaf College,4,5,0.002653224410743458
Albany,9,3,0.0026476761546258424
Anderson (IN),0,10,0.0026402088570167724
Pomona-Pitzer,6,3,0.0026196340301910905
Hendrix College,3,7,0.002607939067254159
Berry College,9,1,0.0025947907395359408
South Dakota State,11,0,0.0025684522116386716
Dubuque,5,5,0.002561698101674776
Westminster,1,8,0.0025589820489345643
South Dakota,9,2,0.002506056792889751
Northern Iowa,6,5,0.0024877492485441202
Wabash College,7,3,0.0024705283927620248
North Dakota,7,4,0.0024640390485507644
Puget Sound,3,6,0.0024435730422971346
Rhodes,6,4,0.0024285077419220215
Wheaton College (Ill),9,1,0.002420543881938529
Gustavus Adolphus,6,3,0.002398343704990733
Redlands,5,4,0.002391816270015377
Linfield,8,1,0.0023837735787671285
Carleton,6,3,0.0023740372627115503
Denison,7,3,0.002369735964581461
Montana State,8,3,0.0023632324331280727
Nebraska Wesleyan University,4,6,0.002342454290968843
Yale,7,3,0.0023309846607019245
Southern Utah,6,5,0.0023260206492141844
East Texas Baptist,4,5,0.0023234454135865573
Holy Cross,7,4,0.0023222349556603025
Missouri State,4,7,0.00231130998992978
Richmond,8,3,0.0023048677326088763
Monmouth,4,7,0.0022926674322975727
Hamline,4,5,0.0022870920429277374
Texas Lutheran,2,8,0.002246475233309003
Austin Peay,9,2,0.0022359497693789226
Concordia (MN),5,4,0.0022331450013541544
Buena Vista,2,8,0.0022116806934793067
Indiana State,1,10,0.002208538747762152
Wartburg,10,0,0.002196994249342956
Western Illinois,0,11,0.002190780375781929
Central Arkansas,7,4,0.0021802057236102543
Sacramento State,7,4,0.0021749536532042
McMurry,6,3,0.002160927544466327
Austin College,1,9,0.002160461222952378
Western Carolina,7,4,0.002146457281878741
Southern Illinois,7,4,0.0021370934272279024
Elon,6,5,0.002134669433253928
Martin Luther College,2,8,0.0021296337974864303
Furman,9,2,0.0021272393306806074
UT Martin,8,3,0.0021229429412391258
Tarleton State,8,3,0.002121401940508211
Towson,5,6,0.002110297845172963
Rhode Island,6,5,0.0021056590028597673
Northern Arizona,5,6,0.0020940355846984365
Harvard,8,2,0.0020875039409004744
La Verne,1,8,0.0020873412274420742
Villanova,9,2,0.0020858493171920425
UW-Whitewater,9,1,0.002084275164184192
Maine,2,9,0.002082733618364828
Lamar,6,5,0.0020804519368046747
Eastern Kentucky,5,6,0.002078039257972527
William & Mary,6,5,0.0020766359235746446
Lafayette,9,2,0.0020665913321301866
Fordham,6,5,0.002048986874110454
North Carolina A&T,1,10,0.002048249910895954
Texas A&M-Commerce,2,9,0.002038445003737169
Murray State,2,9,0.0020353879163352404
New Hampshire,6,5,0.0020198725029043096
Montana,10,1,0.002016343928806865
Eastern Washington,4,7,0.0020089555030406393
Macalester,2,7,0.0019915748921085132
Weber State,6,5,0.0019911709499727138
Sioux Falls,3,8,0.001988225972152238
Brown,5,5,0.0019839376605253036
Stephen F. Austin,3,8,0.0019718548251584788
Samford,6,5,0.0019493201583227642
Hardin-Simmons,9,1,0.0019397457075296138
Lehigh,2,9,0.0019340764022812641
Idaho,8,3,0.001926110996424461
Portland State,5,6,0.0019245459682736233
Bethel (MN),7,2,0.0019132713684093948
UW-Oshkosh,6,4,0.0019016207642385903
Abilene Christian,5,6,0.0018995429618681014
Long Island University,4,7,0.0018994915366361848
Howard,6,5,0.001891133659775347
Mary Hardin-Baylor,6,4,0.0018839368633412504
Cornell,3,7,0.0018837610823001741
North Alabama,3,8,0.0018820473073742836
Dartmouth,6,4,0.0018794938906563424
Georgetown,5,6,0.001878682698991523
Minnesota St-Moorhead,7,4,0.0018591013213270205
Idaho State,3,8,0.0018393020794594795
Tennessee State,6,5,0.0018339880670063056
Robert Morris,4,7,0.0018258287104044888
Chattanooga,7,4,0.0018237955662545073
Pennsylvania,6,4,0.001821415433712213
Columbia,3,7,0.0018119789471983182
Princeton,5,5,0.0018117471403510397
Utah Tech,2,9,0.0017942094177168804
Southeastern Louisiana,3,8,0.0017920205988003553
North Carolina Central,9,2,0.0017914994979173879
Crown College,1,8,0.0017912979209928717
Saginaw Valley,6,5,0.0017906614349907667
Gardner-Webb,7,4,0.0017881712903627424
Apprentice School,1,3,0.0017880212258892096
Lyon College,4,4,0.0017862273437854806
Eastern Illinois,8,3,0.0017855958824906236
UC Davis,7,4,0.0017844366007316501
Bucknell,4,7,0.001783097225821882
Hampton,5,6,0.0017785579358876602
Southeast Missouri State,4,7,0.0017767309474325643
Bryant,6,5,0.0017666715738067092
Northern Colorado,0,11,0.0017639233098755633
Stony Brook,0,10,0.0017481912834064273
Colgate,6,5,0.0017439678773860272
Mercer,8,3,0.0017429768416687267
Incarnate Word,9,2,0.0017335786083202413
Lindenwood,3,7,0.0017188403668266362
Campbell,5,6,0.001709770557375837
Nicholls,6,4,0.0017074442609496866
Ferris State,8,2,0.0017055269001235997
The Citadel,0,11,0.001695830896606234
Morgan State,4,6,0.00169526919922564
Sacred Heart,2,9,0.0016824273030274339
Wisconsin-Eau Claire,2,8,0.001676043326772851
Wofford,2,9,0.0016742460866845197
Delaware,8,3,0.0016733006868322933
Minnesota State,9,2,0.001672594910452916
Augustana (SD),10,1,0.0016646198518045668
Minnesota-Duluth,9,2,0.0016546758532059106
Winona State,5,6,0.0016523383078648059
Charleston (WV),10,2,0.001648817451851816
Charleston Southern,4,7,0.001646634339515239
UNC Pembroke,8,4,0.0016363684873167419
Norfolk State,3,8,0.0016339101640927061
Northwestern State,0,9,0.001618646283271792
Tennessee Tech,4,7,0.0016148401833222562
Cal Poly,3,8,0.0016132103414037665
McNeese,0,10,0.0016027793803212534
Houston Christian,6,5,0.0015946790752506903
Sul Ross State,4,6,0.0015869000202956922
Wayne State (NE),8,3,0.0015795525054400075
VMI,5,6,0.001572358169340006
Southwest Minnesota State,2,9,0.0015673225764093939
Merrimack,5,6,0.0015647325875303357
